書類管理番号,提出者名,提出日,リスク番号,リスク内容,文字数,api_output,要約,大分類,リスク名,33業種区分
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,1,"（１） （１）当社グループのリスクマネジメント体制


当社グループ全体のリスクマネジメントのため、リスクマネジメントの最終責任者である社長がリスクマネジメント担当役員を任命するとともに、リスクマネジメント統括部署としてリスク管理部を設置しています。


リスクマネジメント統括部署は、グループ企業のリスク管理部署と連携して、リスク予兆の把握及び緊急時のリスクマネジメントを実施しています。下記のリスクマネジメント方法により、月次でリスク予兆を全社から把握した上で経営会議に報告していることに加え、内部統制・リスク管理委員会（委員長：社長）を 年４回開催し、総括と年度方針・計画を年１回以上、経営会議に付議した上で取締役会に報告しています。",320,"要約: 当社グループは、社長が最終責任者となるリスクマネジメント体制を整備し、定期的にリスクの把握と評価を行うことで、リスク管理を強化しています。

大分類: 0. リスクマネジメント（補助分類）
リスク名: リスクマネジメント体制リスク",当社グループは、社長が最終責任者となるリスクマネジメント体制を整備し、定期的にリスクの把握と評価を行うことで、リスク管理を強化しています。,0. リスクマネジメント（補助分類）,リスクマネジメント体制リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,3,"① ①　リスク把握とアセスメント


リスクマネジメント統括部署は、当社グループの事業に係るリスクを継続的に調査・把握しています。把握したリスクは発生確率及び影響規模に応じて評価のうえ、当該評価により優先度が高いとされたリスクについては重点的に事前対策を講じています。",134,"要約: リスクマネジメント統括部署が事業リスクを継続的に把握し、評価に基づいて重点的に対策を行うプロセスを示している。

大分類: 0. リスクマネジメント（補助分類）  
リスク名: リスク把握およびアセスメントリスク",リスクマネジメント統括部署が事業リスクを継続的に把握し、評価に基づいて重点的に対策を行うプロセスを示している。,0. リスクマネジメント（補助分類）,リスク把握およびアセスメントリスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,4,"② ②　リスクモニタリングと対策


リスクマネジメント統括部署は、リスク顕在化の早期把握及び未然防止のために、月次でリスクの状況及び予兆を全社から収集した上で、適切なリスク対応をしています。また、リスクマネジメントの進捗管理のために、リスクモニタリングの結果をとりまとめ、経営会議に月次報告を行っています。",154,"要約: リスク管理統括部署がリスクの早期把握と未然防止のために全社的に情報を収集し、月次でリスク対応を行い、その進捗を経営会議に報告している。

大分類: 0. リスクマネジメント（補助分類）  
リスク名: リスクモニタリングリスク",リスク管理統括部署がリスクの早期把握と未然防止のために全社的に情報を収集し、月次でリスク対応を行い、その進捗を経営会議に報告している。,0. リスクマネジメント（補助分類）,リスクモニタリングリスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,5,"③ ③　顕在化したリスクへの対応


リスクが顕在化した場合、リスクマネジメント統括部署は、影響の最小化のため適切な対応を検討し実施します。規則に定めた危機警戒時又は危機発生時に該当するときは、速やかにリスクマネジメント担当役員又は社長を筆頭とする危機管理の体制に移行し、迅速なリスクへの対応を行います。",152,"要約: リスクが顕在化した際、迅速に対応し影響を最小化するための体制を整備していることを述べている。

大分類: 3. オペレーショナルリスク  
リスク名: 危機管理リスク",リスクが顕在化した際、迅速に対応し影響を最小化するための体制を整備していることを述べている。,3. オペレーショナルリスク,危機管理リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,7,"① ①　情報セキュリティに関するリスク


当社グループは、個人情報やお客様の機密情報等を多く取扱っており、情報管理やセキュリティ管理は、企業の信頼に直結する重要な事項であります。そのため、コンピュータウイルスによる感染やサイバー攻撃等の外部からの不正アクセス、自然災害の発生、リモートワークの増加、海外拠点の整備に伴う情報管理の不徹底等により、情報漏洩、紛失、破壊等の事態が発生した場合には、お客様等からの損害賠償請求や当社グループの信用失墜等につながり、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、居室への入退室管理、情報・ネットワーク機器のセキュリティ対策、メール送信時の運用ルール整備、社員等を対象とした定期的な教育、情報漏洩を想定した事故対応訓練、海外営業所での現地個別対策等の情報管理の強化・徹底を図っております。また、リモートワークの増加に伴い、これに対応した情報取り扱い方法の規則化を行っています。",419,"要約: 当社は情報セキュリティに関してリスクを抱えており、外部からの不正アクセスや情報管理の不備によって、情報漏洩や信用失墜の事態が発生する可能性がある。

大分類: 6. 技術・情報リスク  
リスク名: 情報セキュリティリスク",当社は情報セキュリティに関してリスクを抱えており、外部からの不正アクセスや情報管理の不備によって、情報漏洩や信用失墜の事態が発生する可能性がある。,6. 技術・情報リスク,情報セキュリティリスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,8,"② ②　プロジェクトに関するリスク


当社グループのシンクタンク・コンサルティングサービスの主な業務、ITサービスにおけるシステム開発は、仕様や業務内容がお客様の要求に基づき定められ、プロジェクト単位で遂行されております。契約ごとの個別性が高く、お客様要望の高度化、案件の複雑化や完成までの事業環境の変化等によって、受注時に採算性が見込まれる案件であっても、作業工数の増加により採算が確保できない可能性があります。特に、新技術を活用した案件や新規のお客様・業務分野の受注においては、受注時の想定以上に作業が発生することがあります。また、管理が不十分で品質が低下した場合あるいは予想外の事態の発生により採算が悪化した場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、入口管理においてプロジェクトに対する全社共通の基準に基づくリスクチェックを実施しています。遂行管理においては、注視すべきプロジェクトに対するモニタリング、採算性等に係る自動アラートの仕組みやプロジェクトリーダーによる日々の管理に加えて、ラインマネージャーによるチェックを実施しています。",490,"要約: プロジェクトにおける仕様や業務内容の変化、受注案件の複雑化によって、採算性が確保できないリスクがあり、特に新技術を用いる場合や新規顧客への対応において影響が大きい。

大分類: 3. オペレーショナルリスク  
リスク名: プロジェクト管理リスク",プロジェクトにおける仕様や業務内容の変化、受注案件の複雑化によって、採算性が確保できないリスクがあり、特に新技術を用いる場合や新規顧客への対応において影響が大きい。,3. オペレーショナルリスク,プロジェクト管理リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,9,"③ ③　官公庁との取引に関するリスク


当連結会計年度の官公庁向け売上高は、連結売上高の27.8％を占めております。


官公庁においては、DX推進を見据えた成長戦略に基づく積極的な財政出動や、より複雑で高度な事業推進が予想されます。


当社グループにとって、実績が豊富で強みが発揮できる領域に政策の重点がシフトすることは追い風になりますが、複雑・高度化する事業内容への対応遅れや、競合他社との受注競争激化が生じた場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、各種情報の収集と結果の要因分析による提案段階での改善活動、より一層のお客様価値を提供できるよう遂行段階並びに成果品質の改善活動を継続的に取り組んでいます。


また、官公庁との取引においては、競争阻害行為の禁止や会計手続の透明性がより一層求められるようになっております。この点において不適切な対応等があった場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、マニュアル等の整備や社員向け研修を継続的に実施するなどコンプライアンス遵守の徹底に取り組んでいます。",490,"要約: 官公庁との取引が連結売上高の重要な割合を占める中、事業内容の複雑化や競争激化による業績への影響、及びコンプライアンス遵守の不備がリスクとなる。

大分類: 9. その他リスク  
リスク名: 官公庁取引リスク",官公庁との取引が連結売上高の重要な割合を占める中、事業内容の複雑化や競争激化による業績への影響、及びコンプライアンス遵守の不備がリスクとなる。,9. その他リスク,官公庁取引リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,10,"④ ④　新事業に関するリスク


当社グループは、「1．経営方針、経営環境及び対処すべき課題等」に記載のとおり、VCP（価値創造プロセス）経営を積極的に進め、研究・提言から社会実装までを視野に入れた展開を行っております。こうした展開に伴い、当社グループでは新事業や、業務や資本の提携を必要とする事業も増えてくると見込んでおります。しかしながら、予想以上の事業環境の変化、事業パートナーの状況変化、サービス利用者の不評やクレームの増大、システム障害等によるサービスの停止等が生じた場合には、当該事業の中断や利用者等からの損害賠償請求、当社グループの信用失墜が発生し、業績に影響を及ぼす可能性があります。


また、AI等を活用した事業では、AI等の活用で求められる公平性や透明性、安全性及びそれらの説明責任への対応が不十分だった場合、同様に業績に影響を及ぼす可能性があります。


さらに、現場作業を行う新事業では、労働安全衛生に十分注意して業務を行っておりますが、管理不十分により事故が発生する可能性があります。


当該リスクに対応するため、このような事業においては、事業予測、投資の収益性、総合的なリスク等を社内審査プロセスに則り確認したうえで、実施の判断を行っております。


また、「新事業創造プロセス基準」及び「AI事業推進の指針」等の関連規則を定め、これに基づく事業開発とサービス運用を行っております。",607,"要約: 新事業やAIを活用した事業によるリスクがあり、事業環境の変化やパートナーの状況、システム障害などによって業績や信用が影響を受ける可能性がある。また、労働安全衛生に関する管理不十分から事故が発生するリスクも存在する。

大分類: 1. 戦略リスク
リスク名: 新規事業リスク",新事業やAIを活用した事業によるリスクがあり、事業環境の変化やパートナーの状況、システム障害などによって業績や信用が影響を受ける可能性がある。また、労働安全衛生に関する管理不十分から事故が発生するリスクも存在する。,1. 戦略リスク,新規事業リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,11,"⑤ ⑤　人材に関するリスク


当社グループが、社会やお客様の多様なニーズに応え、持続的な成長を遂げるには、高度な専門性、独自性、 創造性を持つ人材を確保・育成し、活躍の機会を提供することが極めて重要であります。


しかしながら、採用難や労働市場全体の流動性の高まり、あるいは当社グループの就業環境の悪化等により、高い専門性を持つ人材を十分に確保できない場合、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、当社グループは、採用・育成の充実、ダイバーシティの推進、育児支援制度をはじめとする福利厚生の充実、勤務時間を含む就業環境の整備、ハラスメント防止等の多面的な人材施策により、ゆとりと活力を創造する働きやすくかつ働きがいのある環境の確保に努めております。


また、海外へ滞在して業務を行う場合は、安全対策の強化、情報収集の複線化、渡航者・駐在者への注意喚起等の対策に取り組んでおります。",407,"要約: 高度な専門性を持つ人材を確保・育成できない場合、業績に影響を及ぼすリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: 人材確保/育成リスク",高度な専門性を持つ人材を確保・育成できない場合、業績に影響を及ぼすリスクがある。,3. オペレーショナルリスク,人材確保/育成リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,13,"① ①　グループガバナンスに関するリスク


当社は、三菱総研DCS株式会社（DCS）をはじめ子会社、関連会社を有しております。当社グループとしての企業価値の向上と業務の適正を確保する体制を整備しておりますが、子会社の統治が十分に機能せず、発生したインシデントの対応の遅れなどが生じた場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、「第４　提出会社の状況　4．コーポレート・ガバナンスの状況等」に記載のとおり、グループ内部統制を整備するとともに、中期経営計画における重要課題として、人材育成も含めた連結経営高度化・組織風土改革などのガバナンス向上を位置づけ、人事交流やコンプライアンス意識啓発策の相互連携など、当社グループ間の連携を意識した組織・風土改革を推進してまいります。


 


（子会社DCSと同社非支配株主（株式会社三菱UFJフィナンシャル・グループ（MUFG））との関係）


当社グループのITサービスセグメントの中核を担うDCSの株主構成は、当連結会計年度末において、当社80.0％、MUFG 20.0％となっております。MUFGの子会社である株式会社三菱UFJ銀行は、DCSにとって主要かつ重要な取引先であります。


当連結会計年度におけるDCSと同行（同行の情報システム子会社である三菱UFJインフォメーションテクノロジー株式会社を含む）との取引は、DCS売上高の約４分の１を占めております。DCSは同行の基幹系システムの開発・運用・保守関連業務を長年にわたって受託してきた実績を有し、今後とも良好な業務取引関係が維持されると見込んでおります。


当連結会計年度末において、DCSの取締役及び監査役14名のうち、当社の役職員を兼ねる者は５名、当社出身者は１名、株式会社三菱UFJ銀行の役職員を兼ねる者は１名、同行出身者は２名であります。


当社の役職員を兼ねる者を任命することにより一層のグループガバナンスの向上に努めております。あわせて、今後とも社内外から事業の専門知識や経営経験を有する有能かつ適切な人材を登用すべく取り組んでまいります。",901,"要約: グループガバナンスの機能低下により、インシデントへの対応遅れが業績に影響するリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: 子会社管理リスク",グループガバナンスの機能低下により、インシデントへの対応遅れが業績に影響するリスクがある。,3. オペレーショナルリスク,子会社管理リスク,情報・通信業
